1,UA,403,DEN,4-8am,Fri,May,281,-1,0
2,UA,405,DEN,8-Noon,Fri,May,277,102,1
3,UA,409,DEN,4-8pm,Fri,May,279,4,0
4,UA,511,ORD,8-Noon,Fri,May,158,-2,0
5,UA,667,ORD,4-8am,Fri,May,143,-3,0
6,UA,669,ORD,4-8am,Fri,May,150,0,0
7,UA,673,ORD,8-Noon,Fri,May,158,-5,0
8,UA,677,ORD,8-Noon,Fri,May,160,0,0
9,UA,679,ORD,Noon-4pm,Fri,May,160,10,0
10,UA,681,ORD,Noon-4pm,Fri,May,163,60,1
11,UA,683,ORD,Noon-4pm,Fri,May,163,0,0
12,UA,685,ORD,Noon-4pm,Fri,May,160,32,1
13,UA,687,ORD,4-8pm,Fri,May,160,0,0
14,UA,689,ORD,4-8pm,Fri,May,160,44,1
15,UA,691,ORD,4-8pm,Fri,May,160,52,1
16,UA,693,ORD,4-8pm,Fri,May,160,88,1
17,UA,695,ORD,8-Mid,Fri,May,160,91,1
18,UA,745,DEN,Noon-4pm,Fri,May,277,35,1
19,UA,835,ORD,8-Noon,Fri,May,160,-4,0
20,UA,847,IAD,4-8pm,Fri,May,92,-1,0
21,UA,403,DEN,4-8am,Sat,May,281,-9,0
22,UA,405,DEN,8-Noon,Sat,May,274,-4,0
23,UA,511,ORD,8-Noon,Sat,May,160,-8,0
24,UA,669,ORD,4-8am,Sat,May,160,-8,0
25,UA,677,ORD,8-Noon,Sat,May,163,1,0
26,UA,681,ORD,Noon-4pm,Sat,May,160,-6,0
27,UA,683,ORD,Noon-4pm,Sat,May,148,-8,0
28,UA,685,ORD,Noon-4pm,Sat,May,160,14,0
29,UA,689,ORD,4-8pm,Sat,May,163,-17,0
30,UA,691,ORD,4-8pm,Sat,May,163,-4,0
31,UA,745,DEN,Noon-4pm,Sat,May,277,38,1
32,UA,835,ORD,8-Noon,Sat,May,158,0,0
33,UA,847,IAD,4-8pm,Sat,May,68,-9,0
34,UA,403,DEN,4-8am,Sun,May,281,1,0
35,UA,405,DEN,8-Noon,Sun,May,257,-3,0
36,UA,409,DEN,4-8pm,Sun,May,279,-5,0
37,UA,511,ORD,8-Noon,Sun,May,144,-6,0
38,UA,673,ORD,8-Noon,Sun,May,148,-3,0
39,UA,677,ORD,8-Noon,Sun,May,160,-8,0
40,UA,679,ORD,8-Noon,Sun,May,160,-4,0
41,UA,681,ORD,Noon-4pm,Sun,May,160,45,1
42,UA,683,ORD,Noon-4pm,Sun,May,160,-8,0
43,UA,685,ORD,Noon-4pm,Sun,May,160,-5,0
44,UA,687,ORD,4-8pm,Sun,May,160,-5,0
45,UA,689,ORD,4-8pm,Sun,May,160,34,1
46,UA,691,ORD,4-8pm,Sun,May,160,-5,0
47,UA,693,ORD,4-8pm,Sun,May,160,178,1
48,UA,745,DEN,Noon-4pm,Sun,May,277,-6,0
49,UA,835,ORD,4-8am,Sun,May,160,0,0
50,UA,847,IAD,4-8pm,Sun,May,92,28,0
51,UA,403,DEN,4-8am,Mon,May,281,-3,0
52,UA,405,DEN,8-Noon,Mon,May,277,-8,0
53,UA,409,DEN,4-8pm,Mon,May,279,50,1
54,UA,511,ORD,8-Noon,Mon,May,158,-1,0
55,UA,667,ORD,4-8am,Mon,May,143,-6,0
56,UA,669,ORD,4-8am,Mon,May,150,-2,0
57,UA,673,ORD,8-Noon,Mon,May,158,-13,0
58,UA,677,ORD,8-Noon,Mon,May,160,-5,0
59,UA,679,ORD,Noon-4pm,Mon,May,160,-2,0
60,UA,683,ORD,Noon-4pm,Mon,May,163,88,1
61,UA,685,ORD,Noon-4pm,Mon,May,160,-2,0
62,UA,687,ORD,4-8pm,Mon,May,160,81,1
63,UA,689,ORD,4-8pm,Mon,May,160,0,0
64,UA,691,ORD,4-8pm,Mon,May,160,5,0
65,UA,693,ORD,4-8pm,Mon,May,160,49,1
66,UA,695,ORD,8-Mid,Mon,May,160,33,1
67,UA,745,DEN,Noon-4pm,Mon,May,277,-2,0
68,UA,835,ORD,8-Noon,Mon,May,160,-8,0
69,UA,847,IAD,4-8pm,Mon,May,92,-7,0
70,UA,403,DEN,4-8am,Tue,May,281,-4,0
71,UA,405,DEN,8-Noon,Tue,May,277,117,1
