54.4,43.8
56.4,47.6
58.9,47.7
60,47.6
53.5,43.2
57.7,46.1
58.2,46
52.1,41.8
57.6,46.4
56.1,44.5
62.4,50.4
56.4,43.6
56.7,46.2
58.3,47.9
52.5,42.6
63.3,51.3
54.3,44.9
53,43.6
59.4,46.7
56.1,45.9
52.5,43.2
63.8,52
57.2,45.9
58.2,45.9
54,44.2
58.7,47.1
51.7,41.3
58,45
53.7,43.3
54.7,45.5
55.7,44.4
58.7,47
54.6,44.4
54.8,45.3
57.4,46.2
54.7,45
52.3,43.5
55.4,45
61,49.2
51.9,42.5
51.6,42.2
66,52.1
62.4,49.7
51,41
53.1,42.9
63.8,51.8
55.8,45
55.1,44.7
58.5,47.2
62.6,50.1
55.6,45.1
59.3,48.8
62,50.9
56.9,47.9
59.4,48.6
58.3,49.1
51.9,42.6
61,49.7
58.3,48
58.7,48.1
59.4,49.2
51.9,43.4
59,46
58.7,44.7
57.2,44.4
54.3,42.9
54.6,42.4
57.2,44.8
66.8,51
64.6,50.5
60.4,46.5
57.9,44.3
56.1,42.1
61.7,49.1
63.4,49.3
56,42.9
64.8,51.3
62.6,49
58.1,46.1
56.2,45.4
56.4,46.6
63.2,49.8
58.5,44.2
56.9,46
57,45.6
63,48.9
64.7,50.7
62.1,49.7
57.1,46.7
57.6,43.7
60.5,48.6
66.6,52.3
53.8,42.9
58.6,46.9
59.3,46
55.4,43.4
56.6,45.2
55.3,44.1
60.1,47.5
59.7,46.6
55.3,45.2
59.5,46.4
61.6,49.5
54.9,44.5
59.2,47.8
63.4,49.4
62.8,48.6
54,43.3
62.4,48.7
60.6,48.4
63.5,50.1
57.2,47.3
61,47.8
57.9,45.9
59.1,46.3
57.4,45.5
